Date,Buy Price,Sell Price
2009-08-01,21.130,21.190
2009-08-02,21.130,21.190
2009-08-03,21.130,21.190
2009-08-04,21.130,21.190
2009-08-05,21.130,21.190
2009-08-06,21.130,21.190
2009-08-07,21.130,21.190
2009-08-08,21.130,21.190
2009-08-09,21.130,21.190
2009-08-10,21.130,21.190
2009-08-11,21.130,21.190
2009-08-12,21.130,21.190
2009-08-13,21.130,21.190
2009-08-14,21.130,21.190
2009-08-15,21.130,21.190
2009-08-16,21.130,21.190
2009-08-17,21.130,21.190
2009-08-18,21.130,21.190
2009-08-19,21.130,21.190
2009-08-20,21.130,21.190
2009-08-21,21.130,21.190
2009-08-22,21.130,21.190
2009-08-23,21.130,21.190
2009-08-24,21.130,21.190
2009-08-25,21.130,21.190
2009-08-26,21.130,21.190
2009-09-21,22.090,22.140
2009-09-22,22.220,22.280
2009-09-23,22.270,22.320
2009-09-24,22.230,22.280
2009-09-25,22.070,22.130
2009-09-26,22.040,22.090
2009-09-27,22.040,22.090
2009-09-28,22.070,22.120
2009-09-29,22.090,22.140
2009-09-30,22.190,22.240
2009-10-01,22.250,22.300
2009-10-02,22.180,22.230
2009-10-03,22.220,22.270
2009-10-04,22.220,22.270
2009-10-05,22.270,22.320
2009-10-06,22.500,22.560
2009-10-07,22.920,22.990
2009-10-08,23.130,23.190
2009-10-09,23.040,23.090
2009-10-10,23.070,23.120
2009-10-11,23.070,23.120
2009-10-12,23.150,23.200
2009-10-13,23.490,23.550
2009-10-14,23.760,23.840
2009-10-15,23.570,23.640
2009-10-16,23.470,23.520
2009-10-17,23.570,23.620
2009-10-18,23.570,23.620
2009-10-19,23.650,23.700
2009-10-20,23.820,23.890
2009-10-21,23.740,23.790
2009-10-22,23.800,23.850
2009-10-23,23.890,23.940
2009-10-24,23.890,23.940
2009-10-25,23.890,23.940
2009-10-26,23.890,23.950
2009-10-27,23.800,23.860
2009-10-28,23.790,23.850
2009-10-29,23.720,23.780
2009-10-30,23.800,23.850
2009-10-31,23.820,23.880
2009-11-01,23.820,23.880
2009-11-02,23.890,23.950
2009-11-03,24.000,24.060
2009-11-04,24.650,24.750
2009-11-05,24.670,24.750
2009-11-06,25.260,25.360
2009-11-07,25.300,25.400
2009-11-08,25.300,25.400
2009-11-09,26.300,26.500
2009-11-10,26.550,26.750
2009-11-11,26.800,27.500
2009-11-12,25.500,26.000
2009-11-13,25.800,26.300
2009-11-14,26.300,26.800
2009-11-15,26.300,26.800
2009-11-16,26.500,26.800
2009-11-17,26.700,26.900
2009-11-18,26.970,27.170
2009-11-19,26.900,27.100
2009-11-20,27.260,27.360
2009-11-21,27.480,27.580
2009-11-22,27.480,27.580
2009-11-23,28.350,28.450
2009-11-24,28.470,28.570
2009-11-25,28.520,28.600
2009-11-26,28.600,28.680
2009-11-27,27.900,28.200
2009-11-28,28.150,28.250
2009-11-29,28.150,28.250
2009-11-30,27.900,28.000
2009-12-01,28.350,28.420
2009-12-02,28.650,28.700
2009-12-03,28.550,28.600
2009-12-04,28.490,28.530
2009-12-05,28.000,28.150
2009-12-06,28.000,28.150
2009-12-07,27.850,27.900
2009-12-08,28.000,28.060
2009-12-09,27.630,27.680
2009-12-10,27.320,27.370
2009-12-11,27.200,27.300
2009-12-12,26.750,26.900
2009-12-13,26.750,26.900
2009-12-14,26.840,26.920
2009-12-15,26.940,27.000
2009-12-16,27.050,27.130
2009-12-17,27.160,27.220
2009-12-18,26.800,26.860
2009-12-19,27.000,27.100
2009-12-20,27.000,27.100
2009-12-21,26.950,27.020
2009-12-22,26.610,26.680
2009-12-23,26.150,26.230
2009-12-24,26.430,26.500
2009-12-25,26.480,26.560
2009-12-26,26.550,26.600
2009-12-27,26.550,26.600
2009-12-28,26.800,26.880
2009-12-29,26.600,26.650
2009-12-30,26.410,26.480
2009-12-31,26.540,26.740
2010-01-01,26.540,26.740
2010-01-02,26.620,26.700
2010-01-03,26.620,26.700
2010-01-04,26.690,26.760
2010-01-05,26.880,26.960
2010-01-06,26.810,26.880
2010-01-07,26.910,26.980
2010-01-08,26.760,26.830
2010-01-09,26.850,26.930
2010-01-10,26.850,26.930
2010-01-11,27.120,27.180
2010-01-12,27.140,27.190
2010-01-13,26.870,26.930
2010-01-14,26.870,26.930
2010-01-15,26.820,26.880
2010-01-16,26.780,26.840
2010-01-17,26.780,26.840
2010-01-18,26.800,26.860
2010-01-19,26.810,26.870
2010-01-20,26.760,26.820
2010-01-21,26.540,26.600
2010-01-22,26.330,26.380
2010-01-23,26.360,26.420
2010-01-24,26.360,26.420
2010-01-25,26.450,26.500
2010-01-26,26.400,26.450
2010-01-27,26.390,26.440
2010-01-28,26.440,26.500
2010-01-29,26.380,26.430
2010-01-30,26.370,26.420
2010-01-31,26.370,26.420
2010-02-01,26.320,26.380
2010-02-02,26.390,26.450
2010-02-03,26.480,26.540
2010-02-04,26.370,26.430
2010-02-05,24.900,25.000
2010-02-06,25.200,25.300
2010-02-07,25.200,25.300
2010-02-08,25.080,25.180
2010-02-09,25.160,25.260
2010-02-10,25.660,25.760
2010-02-11,26.150,26.250
2010-02-12,26.320,26.420
2010-02-13,26.320,26.420
2010-02-14,26.320,26.420
2010-02-15,26.320,26.420
2010-02-16,26.320,26.420
2010-02-17,26.320,26.420
2010-02-18,26.550,26.650
2010-02-19,26.500,26.600
2010-02-20,26.650,26.750
2010-02-21,26.650,26.750
2010-02-22,26.600,26.680
2010-02-23,26.550,26.620
2010-02-24,26.380,26.450
2010-02-25,26.260,26.320
2010-02-26,26.410,26.470
