Member_number,Date,itemDescription,year,month,day,day_of_week
1249,01/01/2014,citrus fruit,2014,1,1,2
1249,01/01/2014,coffee,2014,1,1,2
1381,01/01/2014,curd,2014,1,1,2
1381,01/01/2014,soda,2014,1,1,2
1440,01/01/2014,other vegetables,2014,1,1,2
1440,01/01/2014,yogurt,2014,1,1,2
1659,01/01/2014,specialty chocolate,2014,1,1,2
1659,01/01/2014,frozen vegetables,2014,1,1,2
1789,01/01/2014,hamburger meat,2014,1,1,2
1789,01/01/2014,candles,2014,1,1,2
1922,01/01/2014,tropical fruit,2014,1,1,2
1922,01/01/2014,other vegetables,2014,1,1,2
2226,01/01/2014,sausage,2014,1,1,2
2226,01/01/2014,bottled water,2014,1,1,2
2237,01/01/2014,bottled water,2014,1,1,2
2237,01/01/2014,Instant food products,2014,1,1,2
2351,01/01/2014,cleaner,2014,1,1,2
2351,01/01/2014,shopping bags,2014,1,1,2
2542,01/01/2014,sliced cheese,2014,1,1,2
2542,01/01/2014,bottled water,2014,1,1,2
2610,01/01/2014,hamburger meat,2014,1,1,2
2610,01/01/2014,bottled beer,2014,1,1,2
2610,01/01/2014,domestic eggs,2014,1,1,2
2709,01/01/2014,yogurt,2014,1,1,2
2709,01/01/2014,frozen vegetables,2014,1,1,2
2727,01/01/2014,hamburger meat,2014,1,1,2
2727,01/01/2014,frozen potato products,2014,1,1,2
2943,01/01/2014,whole milk,2014,1,1,2
2943,01/01/2014,flower (seeds),2014,1,1,2
2974,01/01/2014,berries,2014,1,1,2
2974,01/01/2014,whipped/sour cream,2014,1,1,2
2974,01/01/2014,bottled water,2014,1,1,2
3681,01/01/2014,onions,2014,1,1,2
3681,01/01/2014,whipped/sour cream,2014,1,1,2
3681,01/01/2014,dishes,2014,1,1,2
3797,01/01/2014,waffles,2014,1,1,2
3797,01/01/2014,whole milk,2014,1,1,2
3942,01/01/2014,other vegetables,2014,1,1,2
3942,01/01/2014,yogurt,2014,1,1,2
3942,01/01/2014,Instant food products,2014,1,1,2
3956,01/01/2014,yogurt,2014,1,1,2
3956,01/01/2014,shopping bags,2014,1,1,2
3956,01/01/2014,waffles,2014,1,1,2
3956,01/01/2014,chocolate,2014,1,1,2
4260,01/01/2014,soda,2014,1,1,2
4260,01/01/2014,brown bread,2014,1,1,2
4942,01/01/2014,butter,2014,1,1,2
4942,01/01/2014,frozen vegetables,2014,1,1,2
1066,02/01/2014,root vegetables,2014,1,2,3
1066,02/01/2014,bottled beer,2014,1,2,3
1248,02/01/2014,chicken,2014,1,2,3
1248,02/01/2014,butter,2014,1,2,3
1265,02/01/2014,other vegetables,2014,1,2,3
1265,02/01/2014,whole milk,2014,1,2,3
1265,02/01/2014,soda,2014,1,2,3
1365,02/01/2014,frozen vegetables,2014,1,2,3
1365,02/01/2014,specialty bar,2014,1,2,3
1528,02/01/2014,frozen vegetables,2014,1,2,3
1528,02/01/2014,tropical fruit,2014,1,2,3
1814,02/01/2014,frankfurter,2014,1,2,3
1814,02/01/2014,sparkling wine,2014,1,2,3
1870,02/01/2014,fruit/vegetable juice,2014,1,2,3
1870,02/01/2014,napkins,2014,1,2,3
2020,02/01/2014,beef,2014,1,2,3
2020,02/01/2014,fruit/vegetable juice,2014,1,2,3
2043,02/01/2014,waffles,2014,1,2,3
2043,02/01/2014,brown bread,2014,1,2,3
2311,02/01/2014,pastry,2014,1,2,3
2311,02/01/2014,canned beer,2014,1,2,3
2472,02/01/2014,other vegetables,2014,1,2,3
2472,02/01/2014,white bread,2014,1,2,3
